Unnamed: 0,Название СТЕ,ОКПД-2
0,чайникэлектрический,25.99.12.112
1,"кофемашинаdelonghiecam22.110.b,1450вт,объем1,8л,емкостьдлязерен250г,ручнойкапучинатор,черная",27.51.24.120
2,папка-уголок,22.29.25.000
3,креслоофисноебюрократch-868axsnэкокожачерное,31.01.12.160
4,"холодильникindesittt85.005,общийобъем122л,морозильнаякамера14л,60x62x85см,цветдерево",27.51.11.110
5,"холодильникindesitst167,общийобъем300л,верхняяморозильнаякамера53л,60x66,5x167см,белый",27.51.11.110
6,"сейфмебельныйсейф(к1)valbergasm-120telмебельный,эл.замок",25.99.21.110
7,"сейфофисныйvalberg""asm-63tel"",630х440х355мм,электронныйзамок,трейзер",25.99.21.110
8,"батарейкикомплект4шт.,sonnenalkaline,аа(lr6,15а),алкалиновые,пальчиковые,блистер",27.20.11.000
9,"сетевойфильтрdefenderes,5розеток,5м,белый",27.33.13.190
10,"удлинительвбухтеpowercube,1розеткасзаземлением,10м,3х0,75мм,1300вт,оранжевый",27.33.13.190
11,"удлинительрадистпремиумр16-012,3розеткисзаземлением,7м,3х0,75мм,1300вт,белый",27.33.13.190
12,"сетевойфильтрsonnenu-353,5розеток,сзаземлением,выключатель,защитаотперегрузок,10а,3м",27.33.13.190
13,батарейкаалкалиноваяsonnen23ае12в1шт.,27.20.11.000
14,"батарейкаалкалиноваяsonnenaaa1,5в4шт.",27.20.11.000
15,настенныйкронштейнdigisdsm-8043,25.94.12.190
16,выполнениеработпоизготовлениюполиграфическойпродукции(журналовибухгалтерскихкниг).,17.23.13.110
17,перевозкагрузовдо3т.,42.11.20.300
18,пурифайерwfp-2200,28.29.12.119
19,охранныеуслуги,84.24.19.000
20,"шкафдляключейсейфonixк-48шкафдля48ключ.,240х80х300",25.99.21.110
21,перевозкагрузовдо3т.,42.11.20.300
22,"бумагацветнаяiqcolor(а4,80г,5цв.39,40,44,42,48по50л.)пачка250л.",17.12.14.129
23,"средствочистящеедлятехникиrexantcleaner0,4л",20.41.32.111
24,салфеткахозяйственнаячудотряпкауниверсальная25х23см33листа,13.92.29.110
25,"салфеткиattacheselectionsmartpriceдляэкранов,туба,100штук,110х160мм",17.22.11.130
26,папкафайловаяна100файловattachefantasyзеленый,22.29.25.000
27,клейкаялентаупаковочнаякомус50ммх100м50мкмпрозрачная,22.29.21.000
28,средствочистящееотскотчахимитекантистикер0.4л,20.20.14.000
29,файл-вкладышattacheа430мкм,22.29.25.000
30,оказаниеуслугпопроведениютехническойэкспертизысвыдачейактовтехническойэкспертизывычислительногоителекоммуникационногооборудованиянакаждуюединицутехники(вычислительногоителекоммуникационногооборудования),62.02.20.120
31,"разработкалоготипа,фирменногостиляируководствапоиспользованиюфирменногостиля",74.10.19.000
32,охранныеуслуги,84.24.19.000
33,"мешкидлямусора180л,вд,90х110см,50шт/рул.",22.22.11.190
34,набордлячисткиоргтехникиproмegaоfficelcd/tftспрей500млмикрофибра,13.92.29.110
35,полотенцабумажныед/держ.veiroa1/a2premium2сл.160м6рулk304,17.22.11.130
36,подписканапериодическиепечатныеиздания,58.13.10.000
37,арендаавтомобилясводителем,49.32.12.000
38,арендаавтомобилясводителем,49.32.12.000
39,семинарыповажнейшимизменениямвобластибухгалтерскогоучётаизпервыхустведущихлекторовминфинароссии.,85.42.19.900
40,"вывозиутилизациямедицинскогооборудования,усл.ед",38.11.39.000
41,доступкбазерезюме,78.10.12.000
42,сейфбухгалтерскийогнестойкийvalbergbm1993kl,25.99.21.110
43,доскамагнитно-маркерная100х150см,32.99.53.130
44,"доскапробковая""magnetoplan"",салюминиевойрамкой,60смх45см",32.99.53.130
45,доскамагнитно-маркерная60х90см,32.99.53.130
46,braubergдоскапробковая60х90см,32.99.53.130
47,доска 100х150поворотная,32.99.53.130
48,"доскамагнитно-маркернаяstaff,60х90см,алюминиеваярамка",32.99.53.130
49,"доскамагнитно-маркерная90х120см,алюминиеваярамка,полочка",32.99.53.130
50,флипчартнароликах,32.99.53.130
51,доскамагнитно-маркернаянастенная120х180,32.99.53.130
52,"флипчартмагнитно-маркерный70х100см,натреноге",32.99.53.130
53,доскаповоротнаякомбинированная100х180,32.99.53.130
54,метал.мебельn_сд-207дсптабурет-стремянка380х370х580,31.01.11.150
55,изготовлениебланков,17.12.14.126
56,изготовлениевизиток,58.19.19.190
57,"техническоеобслуживаниесистемвентиляции,холодоснабжения,индивидуальноготепловогопункта",81.10.10.000
58,изготовлениесолнцезащитныхсистемрулонныхжалюзидляокон,13.92.22.120
59,оказаниеуслугипоразборке-сборкемебели,82.99.19.000
60,управлениепродуктомнаосновеаналитики.gopractice!симулятор,32.99.53.130
61,оказаниеуслугиподоочисткеводопроводнойводыприпомощиаппаратовводоочистки,36.00.20.110
62,пурифайерwfp-2200,28.29.12.119
63,термопотscarlettsc-et10d50(750вт),27.51.24.190
64,"микроволноваяпечьmysterymmw-2012,объем20л,мощность800вт,механическоеуправление,таймер,белая",27.51.27.000
65,чайникэлектрическийboschtwk3a0132400вт1.7лчерный,27.51.24.110
66,"кофемашинаdelonghimagnificasecam22.110.sb,1450вт,объем1,8л,ручнойкапучинатор,серебристая",27.51.24.120
67,изготовлениеполиграфическойпродукции:карандашслоготипом,18.12.19.190
68,изготовлениеполиграфическойпродукции:брелок-ретрактор,22.29.26.190
69,изготовлениеполиграфическойпродукции:ручкаслоготипом,32.99.12.110
70,изготовлениеполиграфическойпродукции:пакет,17.21.12.000
71,изготовлениеполиграфическойпродукции:папкаадреснаяслоготипом,17.23.13.193
72,уборка,81.21.10.000
73,предоставлениедоступакинформационномуресурсуспарк(3доступа),63.12.10.000
74,изготовлениеинформационныхтабличек(комплект),18.12.19.190
75,грузоперевозки,50.20.15.110
76,"сейфмебельныйсейфaikotm-90тelмебельный,электр.замок",25.99.21.110
77,сейфмебельныйvalbergasm-30el(электронныйзамок),25.99.21.110
